z, Pressure_0, Pressure_1, Velocity_0, GasTemperature_0, SolidTemperature_0, H2_0, NH3_0, N2_0, Ni(s)_0, N(s)_0, H(s)_0, NH(s)_0, NH2(s)_0, NH3(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, H2_1, NH3_1, N2_1, Ni(s)_1, N(s)_1, H(s)_1, NH(s)_1, NH2(s)_1, NH3(s)_1, 
0.00277778, 510078, 510061, 0.0288793, 773, 773, 0.251542, 0.685021, 0.0634364, 0.0029378, 0.972664, 0.0223087, 0.0020688, 1.76889e-07, 2.06454e-05, 0.0292319, 773, 773, 0.25089, 0.684757, 0.0643529, 0.00293076, 0.972751, 0.0222306, 0.00206668, 1.76525e-07, 2.05858e-05, 
0.00833333, 510070, 510053, 0.0327735, 773, 773, 0.406514, 0.438926, 0.154559, 0.00772709, 0.91707, 0.0727495, 0.00241832, 2.53267e-07, 3.51847e-05, 0.0311942, 773, 773, 0.3999, 0.44232, 0.157779, 0.00751594, 0.919848, 0.070195, 0.00240622, 2.50027e-07, 3.44754e-05, 
0.0138889, 510060, 510044, 0.0350205, 773, 773, 0.486427, 0.285316, 0.228257, 0.0140046, 0.839559, 0.143977, 0.00241752, 2.75874e-07, 4.15995e-05, 0.0306752, 773, 773, 0.478095, 0.287204, 0.234701, 0.0136502, 0.844768, 0.139129, 0.00241165, 2.72866e-07, 4.08022e-05, 
0.0194444, 510050, 510036, 0.0348925, 773, 773, 0.519827, 0.163973, 0.3162, 0.0232098, 0.728005, 0.246579, 0.00216628, 2.55252e-07, 3.96948e-05, 0.0277953, 773, 773, 0.509862, 0.162605, 0.327533, 0.0229223, 0.733699, 0.241177, 0.00216219, 2.52322e-07, 3.88646e-05, 
0.025, 510040, 510028, 0.0320595, 773, 773, 0.504926, 0.0788597, 0.416214, 0.0366075, 0.578405, 0.383262, 0.00169611, 1.96873e-07, 3.01451e-05, 0.024001, 773, 773, 0.49375, 0.0765181, 0.429732, 0.0366973, 0.581664, 0.379923, 0.00168667, 1.93598e-07, 2.93145e-05, 
0.0305556, 510031, 510021, 0.0282959, 773, 773, 0.444384, 0.0293312, 0.526285, 0.0556424, 0.396759, 0.54649, 0.00109144, 1.18822e-07, 1.70602e-05, 0.0198559, 773, 773, 0.433366, 0.0277884, 0.538846, 0.0563958, 0.395538, 0.546975, 0.0010745, 1.15517e-07, 1.63789e-05, 
0.0361111, 510022, 510015, 0.0245627, 773, 773, 0.362555, 0.00947091, 0.627974, 0.0768711, 0.240591, 0.681933, 0.000597796, 5.87766e-08, 7.62055e-06, 0.0169956, 773, 773, 0.353828, 0.00892655, 0.637246, 0.0779374, 0.238456, 0.683014, 0.000585312, 5.68518e-08, 7.2817e-06, 
0.0416667, 510014, 510010, 0.0222452, 773, 773, 0.293899, 0.00392315, 0.702178, 0.0928438, 0.165235, 0.741548, 0.000369644, 3.27203e-08, 3.81892e-06, 0.0153038, 773, 773, 0.288309, 0.00377059, 0.70792, 0.0936753, 0.164919, 0.741037, 0.00036541, 3.20363e-08, 3.70333e-06, 
0.0472222, 510007, 510005, 0.0210599, 773, 773, 0.24916, 0.00253578, 0.748304, 0.101704, 0.150056, 0.747928, 0.000309082, 2.51903e-08, 2.70684e-06, 0.0143417, 773, 773, 0.24601, 0.0024904, 0.751499, 0.102173, 0.150903, 0.746613, 0.000308853, 2.50121e-08, 2.67063e-06, 
0.0527778, 510000, 510000, 0.0203937, 773, 773, 0.222769, 0.0020716, 0.775159, 0.106579, 0.15202, 0.741103, 0.000296077, 2.28164e-08, 2.31819e-06, 0.0138274, 773, 773, 0.22132, 0.00205675, 0.776624, 0.106795, 0.152721, 0.740186, 0.000296473, 2.27725e-08, 2.3062e-06, 
